PRES,BU,PLOT,MONDATE,SPCODE,IND,COVER,LAST BURN,MON_YEAR,BURN_YEAR
ABRP,5,1,7/7/1995,HW,2,1.68,4/8/1993,1995,1993
ABRP,5,1,7/7/1995,PE,0,0,4/8/1993,1995,1993
ABRP,5,1,7/7/1995,PP,0,0,4/8/1993,1995,1993
ABRP,5,1,7/7/1995,QE,4,6.25,4/8/1993,1995,1993
ABRP,5,1,7/7/1995,QL,2,4.89,4/8/1993,1995,1993
ABRP,5,1,7/7/1995,QU,8,6.83,4/8/1993,1995,1993
ABRP,5,2,7/7/1995,HW,0,0,4/8/1993,1995,1993
ABRP,5,2,7/7/1995,PE,0,0,4/8/1993,1995,1993
ABRP,5,2,7/7/1995,PP,0,0,4/8/1993,1995,1993
ABRP,5,2,7/7/1995,QE,0,0,4/8/1993,1995,1993
ABRP,5,2,7/7/1995,QL,8,7.96,4/8/1993,1995,1993
ABRP,5,2,7/7/1995,QU,7,8.35,4/8/1993,1995,1993
ABRP,5,3,7/18/1995,HW,6,6.68,4/8/1993,1995,1993
ABRP,5,3,7/18/1995,PE,0,0,4/8/1993,1995,1993
ABRP,5,3,7/18/1995,PP,3,5.4,4/8/1993,1995,1993
ABRP,5,3,7/18/1995,QE,15,33.31,4/8/1993,1995,1993
ABRP,5,3,7/18/1995,QL,2,1.68,4/8/1993,1995,1993
ABRP,5,3,7/18/1995,QU,6,14.27,4/8/1993,1995,1993
ABRP,5,4,7/17/1995,HW,5,6.28,4/8/1993,1995,1993
ABRP,5,4,7/17/1995,PE,0,0,4/8/1993,1995,1993
ABRP,5,4,7/17/1995,PP,1,6.2,4/8/1993,1995,1993
ABRP,5,4,7/17/1995,QE,0,0,4/8/1993,1995,1993
ABRP,5,4,7/17/1995,QL,6,6.53,4/8/1993,1995,1993
ABRP,5,4,7/17/1995,QU,5,18.06,4/8/1993,1995,1993
ABRP,5,5,7/5/1995,HW,0,0,4/8/1993,1995,1993
ABRP,5,5,7/5/1995,PE,0,0,4/8/1993,1995,1993
ABRP,5,5,7/5/1995,PP,2,13.83,4/8/1993,1995,1993
ABRP,5,5,7/5/1995,QE,2,4.66,4/8/1993,1995,1993
ABRP,5,5,7/5/1995,QL,11,14.67,4/8/1993,1995,1993
ABRP,5,5,7/5/1995,QU,7,12.82,4/8/1993,1995,1993
ABRP,5,6,7/12/1995,HW,2,1.77,4/8/1993,1995,1993
ABRP,5,6,7/12/1995,PE,0,0,4/8/1993,1995,1993
ABRP,5,6,7/12/1995,PP,1,0.3,4/8/1993,1995,1993
