PRES,BU,PLOT,MONDATE,SIZE,STEMS,MON_YEAR,LAST_BURN,BURN_YEAR
ABRP,5,1,7/7/1995,SEEDLING,3,1995,4/8/1993,1993
ABRP,5,1,7/7/1995,A,0,1995,4/8/1993,1993
ABRP,5,1,7/7/1995,B,0,1995,4/8/1993,1993
ABRP,5,1,7/7/1995,C,5,1995,4/8/1993,1993
ABRP,5,1,7/7/1995,D,2,1995,4/8/1993,1993
ABRP,5,1,7/7/1995,E,0,1995,4/8/1993,1993
ABRP,5,1,7/7/1995,F,2,1995,4/8/1993,1993
ABRP,5,1,7/7/1995,G,2,1995,4/8/1993,1993
ABRP,5,1,7/7/1995,H,0,1995,4/8/1993,1993
ABRP,5,1,7/7/1995,I,0,1995,4/8/1993,1993
ABRP,5,1,7/7/1995,J,1,1995,4/8/1993,1993
ABRP,5,2,7/7/1995,SEEDLING,3,1995,4/8/1993,1993
ABRP,5,2,7/7/1995,A,0,1995,4/8/1993,1993
ABRP,5,2,7/7/1995,B,0,1995,4/8/1993,1993
ABRP,5,2,7/7/1995,C,1,1995,4/8/1993,1993
ABRP,5,2,7/7/1995,D,2,1995,4/8/1993,1993
ABRP,5,2,7/7/1995,E,0,1995,4/8/1993,1993
ABRP,5,2,7/7/1995,F,3,1995,4/8/1993,1993
ABRP,5,2,7/7/1995,G,4,1995,4/8/1993,1993
ABRP,5,2,7/7/1995,H,0,1995,4/8/1993,1993
ABRP,5,2,7/7/1995,I,0,1995,4/8/1993,1993
ABRP,5,2,7/7/1995,J,0,1995,4/8/1993,1993
ABRP,5,3,7/18/1995,SEEDLING,1,1995,4/8/1993,1993
ABRP,5,3,7/18/1995,A,0,1995,4/8/1993,1993
ABRP,5,3,7/18/1995,B,0,1995,4/8/1993,1993
ABRP,5,3,7/18/1995,C,0,1995,4/8/1993,1993
ABRP,5,3,7/18/1995,D,0,1995,4/8/1993,1993
ABRP,5,3,7/18/1995,E,1,1995,4/8/1993,1993
ABRP,5,3,7/18/1995,F,3,1995,4/8/1993,1993
ABRP,5,3,7/18/1995,G,0,1995,4/8/1993,1993
ABRP,5,3,7/18/1995,H,2,1995,4/8/1993,1993
ABRP,5,3,7/18/1995,I,0,1995,4/8/1993,1993
ABRP,5,3,7/18/1995,J,0,1995,4/8/1993,1993
ABRP,5,4,7/17/1995,SEEDLING,1,1995,4/8/1993,1993
ABRP,5,4,7/17/1995,A,0,1995,4/8/1993,1993
ABRP,5,4,7/17/1995,B,0,1995,4/8/1993,1993
ABRP,5,4,7/17/1995,C,0,1995,4/8/1993,1993
ABRP,5,4,7/17/1995,D,0,1995,4/8/1993,1993
ABRP,5,4,7/17/1995,E,0,1995,4/8/1993,1993
ABRP,5,4,7/17/1995,F,0,1995,4/8/1993,1993
ABRP,5,4,7/17/1995,G,0,1995,4/8/1993,1993
ABRP,5,4,7/17/1995,H,0,1995,4/8/1993,1993
ABRP,5,4,7/17/1995,I,1,1995,4/8/1993,1993
ABRP,5,4,7/17/1995,J,0,1995,4/8/1993,1993
ABRP,5,5,7/5/1995,SEEDLING,2,1995,4/8/1993,1993
ABRP,5,5,7/5/1995,A,0,1995,4/8/1993,1993
ABRP,5,5,7/5/1995,B,0,1995,4/8/1993,1993
ABRP,5,5,7/5/1995,C,0,1995,4/8/1993,1993
ABRP,5,5,7/5/1995,D,0,1995,4/8/1993,1993
ABRP,5,5,7/5/1995,E,2,1995,4/8/1993,1993
ABRP,5,5,7/5/1995,F,3,1995,4/8/1993,1993
ABRP,5,5,7/5/1995,G,0,1995,4/8/1993,1993
ABRP,5,5,7/5/1995,H,1,1995,4/8/1993,1993
ABRP,5,5,7/5/1995,I,0,1995,4/8/1993,1993
ABRP,5,5,7/5/1995,J,1,1995,4/8/1993,1993
ABRP,5,6,7/12/1995,SEEDLING,3,1995,4/8/1993,1993
ABRP,5,6,7/12/1995,A,0,1995,4/8/1993,1993
ABRP,5,6,7/12/1995,B,0,1995,4/8/1993,1993
ABRP,5,6,7/12/1995,C,0,1995,4/8/1993,1993
ABRP,5,6,7/12/1995,D,0,1995,4/8/1993,1993
ABRP,5,6,7/12/1995,E,0,1995,4/8/1993,1993
ABRP,5,6,7/12/1995,F,1,1995,4/8/1993,1993
ABRP,5,6,7/12/1995,G,0,1995,4/8/1993,1993
ABRP,5,6,7/12/1995,H,1,1995,4/8/1993,1993
ABRP,5,6,7/12/1995,I,0,1995,4/8/1993,1993
ABRP,5,6,7/12/1995,J,0,1995,4/8/1993,1993
ABRP,32,1,7/21/1995,SEEDLING,3,1995,6/15/1993,1993
ABRP,32,1,7/21/1995,A,34,1995,6/15/1993,1993
ABRP,32,1,7/21/1995,B,25,1995,6/15/1993,1993
ABRP,32,1,7/21/1995,C,0,1995,6/15/1993,1993
ABRP,32,1,7/21/1995,D,0,1995,6/15/1993,1993
ABRP,32,1,7/21/1995,E,0,1995,6/15/1993,1993
ABRP,32,1,7/21/1995,F,0,1995,6/15/1993,1993
ABRP,32,1,7/21/1995,G,0,1995,6/15/1993,1993
ABRP,32,1,7/21/1995,H,0,1995,6/15/1993,1993
ABRP,32,1,7/21/1995,I,0,1995,6/15/1993,1993
ABRP,32,1,7/21/1995,J,0,1995,6/15/1993,1993
ABRP,32,2,8/1/1995,SEEDLING,1,1995,6/15/1993,1993
ABRP,32,2,8/1/1995,A,0,1995,6/15/1993,1993
ABRP,32,2,8/1/1995,B,0,1995,6/15/1993,1993
ABRP,32,2,8/1/1995,C,0,1995,6/15/1993,1993
ABRP,32,2,8/1/1995,D,0,1995,6/15/1993,1993
ABRP,32,2,8/1/1995,E,0,1995,6/15/1993,1993
ABRP,32,2,8/1/1995,F,0,1995,6/15/1993,1993
ABRP,32,2,8/1/1995,G,0,1995,6/15/1993,1993
ABRP,32,2,8/1/1995,H,0,1995,6/15/1993,1993
ABRP,32,2,8/1/1995,I,0,1995,6/15/1993,1993
ABRP,32,2,8/1/1995,J,0,1995,6/15/1993,1993
ABRP,32,3,8/1/1995,SEEDLING,2,1995,6/15/1993,1993
ABRP,32,3,8/1/1995,A,1,1995,6/15/1993,1993
ABRP,32,3,8/1/1995,B,0,1995,6/15/1993,1993
ABRP,32,3,8/1/1995,C,0,1995,6/15/1993,1993
